,line,location,language,original_comment,new line,trigram,comment length,label,new_line,length
,"['logic', 'duplic', 'allproject', 'block', 'know', 'fix']",/Users/rubber/fenix/build.gradle: 6,gradle,This logic is duplicated in the allprojects block: I don't know how to fix that.,logic duplic allproject block dont know fix,"[('logic', 'duplic', 'allproject'), ('duplic', 'allproject', 'block'), ('allproject', 'block', 'dont'), ('block', 'dont', 'know'), ('dont', 'know', 'fix')]",7,self-direction,logic duplic allproject block know fix,6
,"['window', 'execut', 'py', 'file', 'directli', 'assum', 'manual', 'instal', 'python', 'come', 'py', 'launcher', 'respect', 'shebang', 'line', 'specifi', 'version']",/Users/rubber/fenix/settings.gradle: 49,gradle,"Windows can't execute .py files directly, so we assume a ""manually installed"" python, which comes with a ""py"" launcher and respects the shebang line to specify the version. ",window cant execut py file directli assum manual instal python come py launcher respect shebang line specifi version,"[('window', 'cant', 'execut'), ('cant', 'execut', 'py'), ('execut', 'py', 'file'), ('py', 'file', 'directli'), ('file', 'directli', 'assum'), ('directli', 'assum', 'manual'), ('assum', 'manual', 'instal'), ('manual', 'instal', 'python'), ('instal', 'python', 'come'), ('python', 'come', 'py'), ('come', 'py', 'launcher'), ('py', 'launcher', 'respect'), ('launcher', 'respect', 'shebang'), ('respect', 'shebang', 'line'), ('shebang', 'line', 'specifi'), ('line', 'specifi', 'version')]",18,universalism,window execut py file directli assum manual instal python come py launcher respect shebang line specifi version,17
,"['unabl', 'get', 'result', 'print', 'directli', 'android', 'studio', 'perhap', 'devic']",/Users/rubber/fenix/app/benchmark.gradle: 19,gradle,I was unable to get the results to print directly in Android Studio (perhaps it's my device).,unabl get result print directli android studio perhap devic,"[('unabl', 'get', 'result'), ('get', 'result', 'print'), ('result', 'print', 'directli'), ('print', 'directli', 'android'), ('directli', 'android', 'studio'), ('android', 'studio', 'perhap'), ('studio', 'perhap', 'devic')]",9,"self-direction, universalism",unabl get result print directli android studio perhap devic,9
,"['activ', 'miss', 'suppos', 'use', 'test', 'instrument', 'runner', 'androidx', 'bench', 'mark', 'junitnumb', 'android', 'bench', 'mark', 'runner', 'howev', 'get', 'error', 'unabl', 'launch', 'activ', 'understand', 'runner', 'use', 'isol', 'activ', 'reduc', 'impact', 'work', 'devic', 'affect', 'bench', 'mark', 'opt', 'lower', 'max', 'cpu', 'frequenc', 'unroot', 'devic', 'support', 'unlock', 'gradlew', 'lockclock', 'lock', 'cpu', 'frequenc', 'fail', 'devic', 'see', 'http']",/Users/rubber/fenix/app/benchmark.gradle: 64,gradle,"- ACTIVITY-MISSING: we're supposed to use the test instrumentation runner, ""androidx.benchmark.junit4.AndroidBenchmarkRunner"". However, when I do so, I get an error that we're unable to launch the activity. My understanding is that this runner will use an ""IsolationActivity"" to reduce the impact of other work on the device from affecting the benchmark and to opt into a lower-max CPU frequency on unrooted devices that support it - UNLOCKED: .gradlew lockClocks, which locks the CPU frequency, fails on my device. See https: ",activitymiss suppos use test instrument runner androidxbenchmarkjunit4androidbenchmarkrunn howev get error unabl launch activ understand runner use isolationact reduc impact work devic affect benchmark opt lowermax cpu frequenc unroot devic support unlock gradlew lockclock lock cpu frequenc fail devic see http,"[('activitymiss', 'suppos', 'use'), ('suppos', 'use', 'test'), ('use', 'test', 'instrument'), ('test', 'instrument', 'runner'), ('instrument', 'runner', 'androidxbenchmarkjunit4androidbenchmarkrunn'), ('runner', 'androidxbenchmarkjunit4androidbenchmarkrunn', 'howev'), ('androidxbenchmarkjunit4androidbenchmarkrunn', 'howev', 'get'), ('howev', 'get', 'error'), ('get', 'error', 'unabl'), ('error', 'unabl', 'launch'), ('unabl', 'launch', 'activ'), ('launch', 'activ', 'understand'), ('activ', 'understand', 'runner'), ('understand', 'runner', 'use'), ('runner', 'use', 'isolationact'), ('use', 'isolationact', 'reduc'), ('isolationact', 'reduc', 'impact'), ('reduc', 'impact', 'work'), ('impact', 'work', 'devic'), ('work', 'devic', 'affect'), ('devic', 'affect', 'benchmark'), ('affect', 'benchmark', 'opt'), ('benchmark', 'opt', 'lowermax'), ('opt', 'lowermax', 'cpu'), ('lowermax', 'cpu', 'frequenc'), ('cpu', 'frequenc', 'unroot'), ('frequenc', 'unroot', 'devic'), ('unroot', 'devic', 'support'), ('devic', 'support', 'unlock'), ('support', 'unlock', 'gradlew'), ('unlock', 'gradlew', 'lockclock'), ('gradlew', 'lockclock', 'lock'), ('lockclock', 'lock', 'cpu'), ('lock', 'cpu', 'frequenc'), ('cpu', 'frequenc', 'fail'), ('frequenc', 'fail', 'devic'), ('fail', 'devic', 'see'), ('devic', 'see', 'http')]",40,security,activ miss suppos use test instrument runner androidx bench mark junitnumb android bench mark runner howev get error unabl launch activ understand runner use isol activ reduc impact work devic affect bench mark opt lower max cpu frequenc unroot devic support unlock gradlew lockclock lock cpu frequenc fail devic see http,51
,"['set', 'output', 'directori', 'simpli', 'simplic', 'sinc', 'bench', 'mark', 'runner', 'py', 'script', 'know', 'name', 'phone', 'build', 'output', 'directori', 'system', 'default', 'phone', 'name', 'troublesom', 'find', 'case']",/Users/rubber/fenix/app/benchmark.gradle: 73,gradle,We set the the output directory simply for simplicity since the benchmark_runner.py script can't know the name of the phone in the buildoutputs directory. The system defaults to {phone_name} which can be troublesome finding in some case.,set output directori simpli simplic sinc benchmarkrunnerpi script cant know name phone buildoutput directori system default phonenam troublesom find case,"[('set', 'output', 'directori'), ('output', 'directori', 'simpli'), ('directori', 'simpli', 'simplic'), ('simpli', 'simplic', 'sinc'), ('simplic', 'sinc', 'benchmarkrunnerpi'), ('sinc', 'benchmarkrunnerpi', 'script'), ('benchmarkrunnerpi', 'script', 'cant'), ('script', 'cant', 'know'), ('cant', 'know', 'name'), ('know', 'name', 'phone'), ('name', 'phone', 'buildoutput'), ('phone', 'buildoutput', 'directori'), ('buildoutput', 'directori', 'system'), ('directori', 'system', 'default'), ('system', 'default', 'phonenam'), ('default', 'phonenam', 'troublesom'), ('phonenam', 'troublesom', 'find'), ('troublesom', 'find', 'case')]",20,hedonsim,set output directori simpli simplic sinc bench mark runner py script know name phone build output directori system default phone name troublesom find case,24
,"['look', 'thoroughli', 'enough', 'realli', 'know', 'go', 'think', 'detekt', 'api', 'use', 'jdknumber', 'provid', 'jdknumber', 'depend', 'collis', 'system', 'work', 'duplic', 'api', 'differ', 'version', 'output']",/Users/rubber/fenix/mozilla-detekt-rules/build.gradle: 9,gradle,"I didn't look thoroughly enough to really know what's going on here but I think the detekt API uses jdk8 so if we provide jdk7, the dependency collision system doesn't work and there are duplicate APIs with different versions in the output. ",didnt look thoroughli enough realli know what go think detekt api use jdk8 provid jdk7 depend collis system doesnt work duplic api differ version output,"[('didnt', 'look', 'thoroughli'), ('look', 'thoroughli', 'enough'), ('thoroughli', 'enough', 'realli'), ('enough', 'realli', 'know'), ('realli', 'know', 'what'), ('know', 'what', 'go'), ('what', 'go', 'think'), ('go', 'think', 'detekt'), ('think', 'detekt', 'api'), ('detekt', 'api', 'use'), ('api', 'use', 'jdk8'), ('use', 'jdk8', 'provid'), ('jdk8', 'provid', 'jdk7'), ('provid', 'jdk7', 'depend'), ('jdk7', 'depend', 'collis'), ('depend', 'collis', 'system'), ('collis', 'system', 'doesnt'), ('system', 'doesnt', 'work'), ('doesnt', 'work', 'duplic'), ('work', 'duplic', 'api'), ('duplic', 'api', 'differ'), ('api', 'differ', 'version'), ('differ', 'version', 'output')]",25,"universalism, security",look thoroughli enough realli know go think detekt api use jdknumber provid jdknumber depend collis system work duplic api differ version output,22
,"['error', 'take', 'scree', 'nshot', 'debug', 'easili']",/Users/rubber/fenix/app/src/androidTest/java/org/mozilla/fenix/screenshots/ScreenshotTest.java: 40,java,On error take a screenshot so that we can debug it easily,error take screenshot debug easili,"[('error', 'take', 'screenshot'), ('take', 'screenshot', 'debug'), ('screenshot', 'debug', 'easili')]",5,,error take scree nshot debug easili,6
,"['error', 'take', 'scree', 'nshot', 'debug', 'easili']",/Users/rubber/fenix/app/src/androidTest/java/org/mozilla/fenix/screenshots/ScreenshotTest.java: 40,java,On error take a screenshot so that we can debug it easily,error take screenshot debug easili,"[('error', 'take', 'screenshot'), ('take', 'screenshot', 'debug'), ('screenshot', 'debug', 'easili')]",5,security,error take scree nshot debug easili,6
,"['requir', 'one', 'swipe', 'display', 'full', 'size', 'number', 'dot', 'menu', 'smaller', 'devic', 'pixel', 'number', 'requir', 'two', 'swipe', 'display', 'set', 'menu', 'item', 'bottom', 'larger', 'devic', 'second', 'swipe', 'op']",/Users/rubber/fenix/app/src/androidTest/java/org/mozilla/fenix/ui/robots/ThreeDotMenuMainRobot.kt: 124,kotlin,"We require one swipe to display the full size 3-dot menu. On smaller devices such as the Pixel 2, we require two swipes to display the ""Settings"" menu item at the bottom. On larger devices, the second swipe is a no-op. ",requir one swipe display full size 3dot menu smaller devic pixel 2 requir two swipe display set menu item bottom larger devic second swipe noop,"[('requir', 'one', 'swipe'), ('one', 'swipe', 'display'), ('swipe', 'display', 'full'), ('display', 'full', 'size'), ('full', 'size', '3dot'), ('size', '3dot', 'menu'), ('3dot', 'menu', 'smaller'), ('menu', 'smaller', 'devic'), ('smaller', 'devic', 'pixel'), ('devic', 'pixel', '2'), ('pixel', '2', 'requir'), ('2', 'requir', 'two'), ('requir', 'two', 'swipe'), ('two', 'swipe', 'display'), ('swipe', 'display', 'set'), ('display', 'set', 'menu'), ('set', 'menu', 'item'), ('menu', 'item', 'bottom'), ('item', 'bottom', 'larger'), ('bottom', 'larger', 'devic'), ('larger', 'devic', 'second'), ('devic', 'second', 'swipe'), ('second', 'swipe', 'noop')]",25,universalism,requir one swipe display full size number dot menu smaller devic pixel number requir two swipe display set menu item bottom larger devic second swipe op,26
,"['due', 'bug', 'number', 'need', 'move', 'activ', 'foreground', 'order', 'background', 'ping', 'reason', 'foreground', 'gene', 'rate', 'also', 'trigger', 'send', 'ping', 'submit', 'ted', 'background', 'go', 'away', 'bug', 'number', 'fix']",/Users/rubber/fenix/app/src/androidTest/java/org/mozilla/fenix/glean/BaselinePingTest.kt: 154,kotlin,"Due to bug 1632184, we need move the activity to foreground again, in order for a 'background' ping with reason 'foreground' to be generated and also trigger sending the ping that was submitted on background. This can go away once bug 1634375 is fixed. ",due bug 1632184 need move activ foreground order background ping reason foreground gener also trigger send ping submit background go away bug 1634375 fix,"[('due', 'bug', '1632184'), ('bug', '1632184', 'need'), ('1632184', 'need', 'move'), ('need', 'move', 'activ'), ('move', 'activ', 'foreground'), ('activ', 'foreground', 'order'), ('foreground', 'order', 'background'), ('order', 'background', 'ping'), ('background', 'ping', 'reason'), ('ping', 'reason', 'foreground'), ('reason', 'foreground', 'gener'), ('foreground', 'gener', 'also'), ('gener', 'also', 'trigger'), ('also', 'trigger', 'send'), ('trigger', 'send', 'ping'), ('send', 'ping', 'submit'), ('ping', 'submit', 'background'), ('submit', 'background', 'go'), ('background', 'go', 'away'), ('go', 'away', 'bug'), ('away', 'bug', '1634375'), ('bug', '1634375', 'fix')]",24,security,due bug number need move activ foreground order background ping reason foreground gene rate also trigger send ping submit ted background go away bug number fix,26
,"['huawei', 'devic', 'seem', 'problem', 'onkeylong', 'press', 'see', 'http']",/Users/rubber/fenix/app/src/main/java/org/mozilla/fenix/HomeActivity.kt: 575,kotlin,Huawei devices seem to have problems with onKeyLongPress See https:,huawei devic seem problem onkeylongpress see http,"[('huawei', 'devic', 'seem'), ('devic', 'seem', 'problem'), ('seem', 'problem', 'onkeylongpress'), ('problem', 'onkeylongpress', 'see'), ('onkeylongpress', 'see', 'http')]",7,universalism,huawei devic seem problem onkeylong press see http,8
,"['see', 'http', 'enabl', 'need', 'way', 'interfer', 'start', 'opera', 'tion', 'acquir', 'reserv', 'sqlite', 'lock', 'current', 'fennec', 'migrat', 'need', 'write', 'storag', 'start', 'sinc', 'run', 'background', 'servic', 'simpli', 'order', 'opera', 'tion']",/Users/rubber/fenix/app/src/main/java/org/mozilla/fenix/FenixApplication.kt: 335,kotlin,"See https: To re-enable this, we need to do so in a way that won't interfere with any startup operations which acquire reserved+ sqlite lock. Currently, Fennec migrations need to write to storage on startup, and since they run in a background service we can't simply order these operations. ",see http reenabl need way wont interfer startup oper acquir reserv sqlite lock current fennec migrat need write storag startup sinc run background servic cant simpli order oper,"[('see', 'http', 'reenabl'), ('http', 'reenabl', 'need'), ('reenabl', 'need', 'way'), ('need', 'way', 'wont'), ('way', 'wont', 'interfer'), ('wont', 'interfer', 'startup'), ('interfer', 'startup', 'oper'), ('startup', 'oper', 'acquir'), ('oper', 'acquir', 'reserv'), ('acquir', 'reserv', 'sqlite'), ('reserv', 'sqlite', 'lock'), ('sqlite', 'lock', 'current'), ('lock', 'current', 'fennec'), ('current', 'fennec', 'migrat'), ('fennec', 'migrat', 'need'), ('migrat', 'need', 'write'), ('need', 'write', 'storag'), ('write', 'storag', 'startup'), ('storag', 'startup', 'sinc'), ('startup', 'sinc', 'run'), ('sinc', 'run', 'background'), ('run', 'background', 'servic'), ('background', 'servic', 'cant'), ('servic', 'cant', 'simpli'), ('cant', 'simpli', 'order'), ('simpli', 'order', 'oper')]",28,self-direction,see http enabl need way interfer start opera tion acquir reserv sqlite lock current fennec migrat need write storag start sinc run background servic simpli order opera tion,28
