,line,location,language,original_comment,new line,trigram,comment length,label,new_line,length
,"['page', 'url', 'chang', 'es', 'e', 'g', 'user', 'navig', 'away', 'click', 'link', 'updat', 'metad', 'ata', 'select', 'e', 'previou', 'url', 'tab', 'updat', 'metad', 'ata', 'case', 'reload', 'restor', 'case', 'reload', 'necessari', 'metad', 'ata', 'updat', 'user', 'move', 'away', 'page', 'tab', 'case', 'restor', 'unnecessari', 'like', 'reload', 'problemat', 'sinc', 'last', 'access', 'time', 'tab', 're', 'tore', 'result', 'incorrect', 'long', 'viewtim', 'observ', 'user', 'look', 'page', 'browser', 'even', 'run']",/Users/rubber/fenix/app/src/main/java/org/mozilla/fenix/home/recentvisits/HistoryMetadataMiddleware.kt: 87,kotlin,"When page url changes (e.g. user navigated away by clicking on a link) we update metadata for the selected (i.e. previous) url of this tab. We don't update metadata for cases or reload or restore. In case of a reload it's not necessary - metadata will be updated when user moves away from the page or tab. In case of restore, it's both unnecessary (like for a reload) and problematic, since our lastAccess time will be from before the tab was restored, resulting in an incorrect (too long) viewTime observation, as if the user was looking at the page while the browser wasn't even running. ",page url chang eg user navig away click link updat metadata select ie previou url tab dont updat metadata case reload restor case reload necessari metadata updat user move away page tab case restor unnecessari like reload problemat sinc lastaccess time tab restor result incorrect long viewtim observ user look page browser wasnt even run,"[('page', 'url', 'chang'), ('url', 'chang', 'eg'), ('chang', 'eg', 'user'), ('eg', 'user', 'navig'), ('user', 'navig', 'away'), ('navig', 'away', 'click'), ('away', 'click', 'link'), ('click', 'link', 'updat'), ('link', 'updat', 'metadata'), ('updat', 'metadata', 'select'), ('metadata', 'select', 'ie'), ('select', 'ie', 'previou'), ('ie', 'previou', 'url'), ('previou', 'url', 'tab'), ('url', 'tab', 'dont'), ('tab', 'dont', 'updat'), ('dont', 'updat', 'metadata'), ('updat', 'metadata', 'case'), ('metadata', 'case', 'reload'), ('case', 'reload', 'restor'), ('reload', 'restor', 'case'), ('restor', 'case', 'reload'), ('case', 'reload', 'necessari'), ('reload', 'necessari', 'metadata'), ('necessari', 'metadata', 'updat'), ('metadata', 'updat', 'user'), ('updat', 'user', 'move'), ('user', 'move', 'away'), ('move', 'away', 'page'), ('away', 'page', 'tab'), ('page', 'tab', 'case'), ('tab', 'case', 'restor'), ('case', 'restor', 'unnecessari'), ('restor', 'unnecessari', 'like'), ('unnecessari', 'like', 'reload'), ('like', 'reload', 'problemat'), ('reload', 'problemat', 'sinc'), ('problemat', 'sinc', 'lastaccess'), ('sinc', 'lastaccess', 'time'), ('lastaccess', 'time', 'tab'), ('time', 'tab', 'restor'), ('tab', 'restor', 'result'), ('restor', 'result', 'incorrect'), ('result', 'incorrect', 'long'), ('incorrect', 'long', 'viewtim'), ('long', 'viewtim', 'observ'), ('viewtim', 'observ', 'user'), ('observ', 'user', 'look'), ('user', 'look', 'page'), ('look', 'page', 'browser'), ('page', 'browser', 'wasnt'), ('browser', 'wasnt', 'even'), ('wasnt', 'even', 'run')]",55,,page url chang es e g user navig away click link updat metad ata select e previou url tab updat metad ata case reload restor case reload necessari metad ata updat user move away page tab case restor unnecessari like reload problemat sinc last access time tab re tore result incorrect long viewtim observ user look page browser even run,60
,"['ignor', 'initi', 'state', 'want', 'close', 'immedi']",/Users/rubber/fenix/app/src/main/java/org/mozilla/fenix/tabstray/CloseOnLastTabBinding.kt: 30,kotlin,Ignore the initial state; we don't want to close immediately.,ignor initi state dont want close immedi,"[('ignor', 'initi', 'state'), ('initi', 'state', 'dont'), ('state', 'dont', 'want'), ('dont', 'want', 'close'), ('want', 'close', 'immedi')]",7,none,ignor initi state want close immedi,6
,"['custom', 'lint', 'detector', 'help', 'us', 'ensur', 'use', 'constrain', 'tlayout', 'perform', 'antli', 'detector', 'short', 'come', 'notic', 'constrain', 'tlayout', 'view', 'hierarchi', 'runtim', 'ad', 'differ', 'file', 'e', 'g', 'via', 'includ', 'notic', 'constrain', 'tlayout', 'ad', 'runtim', 'add', 'addit', 'view', 'extend', 'constrain', 'tlayout', 'check', 'know', 'though', 'could', 'gener', 'inform', 'includ', 'check', 'via', 'static', 'analysi']",/Users/rubber/fenix/mozilla-lint-rules/src/main/java/org/mozilla/fenix/lintrules/perf/ConstraintLayoutPerfDetector.kt: 149,kotlin,"A custom lint detector that helps us ensure we're using ConstraintLayout performantly.     This detector has a few shortcomings:   - it will not notice if a ConstraintLayout is in the same view hierarchy at runtime but added   from a different file (e.g. via <include>)   - it will not notice if a ConstraintLayout is added at runtime   - if we add additional views that extend ConstraintLayout, this check won't know about them   (though we could generate this information and include it in this check via static analysis)  ",custom lint detector help us ensur use constraintlayout performantli detector shortcom notic constraintlayout view hierarchi runtim ad differ file eg via includ notic constraintlayout ad runtim add addit view extend constraintlayout check wont know though could gener inform includ check via static analysi,"[('custom', 'lint', 'detector'), ('lint', 'detector', 'help'), ('detector', 'help', 'us'), ('help', 'us', 'ensur'), ('us', 'ensur', 'use'), ('ensur', 'use', 'constraintlayout'), ('use', 'constraintlayout', 'performantli'), ('constraintlayout', 'performantli', 'detector'), ('performantli', 'detector', 'shortcom'), ('detector', 'shortcom', 'notic'), ('shortcom', 'notic', 'constraintlayout'), ('notic', 'constraintlayout', 'view'), ('constraintlayout', 'view', 'hierarchi'), ('view', 'hierarchi', 'runtim'), ('hierarchi', 'runtim', 'ad'), ('runtim', 'ad', 'differ'), ('ad', 'differ', 'file'), ('differ', 'file', 'eg'), ('file', 'eg', 'via'), ('eg', 'via', 'includ'), ('via', 'includ', 'notic'), ('includ', 'notic', 'constraintlayout'), ('notic', 'constraintlayout', 'ad'), ('constraintlayout', 'ad', 'runtim'), ('ad', 'runtim', 'add'), ('runtim', 'add', 'addit'), ('add', 'addit', 'view'), ('addit', 'view', 'extend'), ('view', 'extend', 'constraintlayout'), ('extend', 'constraintlayout', 'check'), ('constraintlayout', 'check', 'wont'), ('check', 'wont', 'know'), ('wont', 'know', 'though'), ('know', 'though', 'could'), ('though', 'could', 'gener'), ('could', 'gener', 'inform'), ('gener', 'inform', 'includ'), ('inform', 'includ', 'check'), ('includ', 'check', 'via'), ('check', 'via', 'static'), ('via', 'static', 'analysi')]",43,,custom lint detector help us ensur use constrain tlayout perform antli detector short come notic constrain tlayout view hierarchi runtim ad differ file e g via includ notic constrain tlayout ad runtim add addit view extend constrain tlayout check know though could gener inform includ check via static analysi,49
,"['inner', 'visit', 'method', 'warn', 'number', 'viola', 'tion', 'avoid', 'number', 'warn', 'first', 'intuit', 'violat', 'e', 'number', 'constrain', 'tlayout', 'file', 'one', 'violat', 'second', 'constrain', 'tlayout', 'suppress', 'scope', 'issu', 'mention', 'first', 'found', 'element', 'like', 'parent', 'constrain', 'tlayout', 'travers', 'order', 'one', 'node', 'report', 'best', 'one']",/Users/rubber/fenix/mozilla-lint-rules/src/main/java/org/mozilla/fenix/lintrules/perf/ConstraintLayoutPerfDetector.kt: 183,kotlin,"For these inner visit methods, we only warn on 2+ violations because: - we avoid having 2 warnings for the first intuitive violation (i.e. 2 ConstraintLayouts in a file is one violation on the second ConstraintLayout) - of the suppression & scope issues mentioned above. The first found element is most likely to be a parent of other ConstraintLayouts because of the traversal order so if there's one node we don't report on, that's the best one. ",inner visit method warn 2 violat avoid 2 warn first intuit violat ie 2 constraintlayout file one violat second constraintlayout suppress scope issu mention first found element like parent constraintlayout travers order there one node dont report that best one,"[('inner', 'visit', 'method'), ('visit', 'method', 'warn'), ('method', 'warn', '2'), ('warn', '2', 'violat'), ('2', 'violat', 'avoid'), ('violat', 'avoid', '2'), ('avoid', '2', 'warn'), ('2', 'warn', 'first'), ('warn', 'first', 'intuit'), ('first', 'intuit', 'violat'), ('intuit', 'violat', 'ie'), ('violat', 'ie', '2'), ('ie', '2', 'constraintlayout'), ('2', 'constraintlayout', 'file'), ('constraintlayout', 'file', 'one'), ('file', 'one', 'violat'), ('one', 'violat', 'second'), ('violat', 'second', 'constraintlayout'), ('second', 'constraintlayout', 'suppress'), ('constraintlayout', 'suppress', 'scope'), ('suppress', 'scope', 'issu'), ('scope', 'issu', 'mention'), ('issu', 'mention', 'first'), ('mention', 'first', 'found'), ('first', 'found', 'element'), ('found', 'element', 'like'), ('element', 'like', 'parent'), ('like', 'parent', 'constraintlayout'), ('parent', 'constraintlayout', 'travers'), ('constraintlayout', 'travers', 'order'), ('travers', 'order', 'there'), ('order', 'there', 'one'), ('there', 'one', 'node'), ('one', 'node', 'dont'), ('node', 'dont', 'report'), ('dont', 'report', 'that'), ('report', 'that', 'best'), ('that', 'best', 'one')]",40,,inner visit method warn number viola tion avoid number warn first intuit violat e number constrain tlayout file one violat second constrain tlayout suppress scope issu mention first found element like parent constrain tlayout travers order one node report best one,41
,"['fact', 'use', 'two', 'differ', 'issu', 'creat', 'weird', 'situat', 'custom', 'view', 'sibl', 'constrain', 'tlayout', 'report', 'constrain', 'tlayout', 'report', 'think', 'worth', 'complex', 'address', 'ide', 'inspect', 'seem', 'break', 'use', 'check', 'file', 'would', 'use']",/Users/rubber/fenix/mozilla-lint-rules/src/main/java/org/mozilla/fenix/lintrules/perf/ConstraintLayoutPerfDetector.kt: 188,kotlin,"The fact that we use two different issues can create a weird situation where if a custom view is a sibling above a ConstraintLayout, it won't report but if it's below the ConstraintLayout, it will report. I don't think it's worth the complexity to address this and in-IDE inspection seems to break when we use afterCheckFile, which would be useful for this. ",fact use two differ issu creat weird situat custom view sibl constraintlayout wont report constraintlayout report dont think worth complex address inid inspect seem break use aftercheckfil would use,"[('fact', 'use', 'two'), ('use', 'two', 'differ'), ('two', 'differ', 'issu'), ('differ', 'issu', 'creat'), ('issu', 'creat', 'weird'), ('creat', 'weird', 'situat'), ('weird', 'situat', 'custom'), ('situat', 'custom', 'view'), ('custom', 'view', 'sibl'), ('view', 'sibl', 'constraintlayout'), ('sibl', 'constraintlayout', 'wont'), ('constraintlayout', 'wont', 'report'), ('wont', 'report', 'constraintlayout'), ('report', 'constraintlayout', 'report'), ('constraintlayout', 'report', 'dont'), ('report', 'dont', 'think'), ('dont', 'think', 'worth'), ('think', 'worth', 'complex'), ('worth', 'complex', 'address'), ('complex', 'address', 'inid'), ('address', 'inid', 'inspect'), ('inid', 'inspect', 'seem'), ('inspect', 'seem', 'break'), ('seem', 'break', 'use'), ('break', 'use', 'aftercheckfil'), ('use', 'aftercheckfil', 'would'), ('aftercheckfil', 'would', 'use')]",29,,fact use two differ issu creat weird situat custom view sibl constrain tlayout report constrain tlayout report think worth complex address ide inspect seem break use check file would use,30
,"['sentri', 'sdk', 'com', 'pile', 'part', 'java', 'sdk', 'avail', 'android', 'sdk', 'let', 'ignor', 'issu', 'sentri', 'code', 'sinc', 'third', 'parti', 'depend', 'anyway']",/Users/rubber/fenix/app/lint.xml: 8,xml,The Sentry SDK is compiled against parts of the Java SDK that are not available in the Android SDK.              Let's just ignore issues in the Sentry code since that is a thirdparty dependency anyways.,sentri sdk com pile part java sdk avail android sdk let ignor issu sentri code sinc third parti depend anyway,"[('sentri', 'sdk', 'compil'), ('sdk', 'compil', 'part'), ('compil', 'part', 'java'), ('part', 'java', 'sdk'), ('java', 'sdk', 'avail'), ('sdk', 'avail', 'android'), ('avail', 'android', 'sdk'), ('android', 'sdk', 'let'), ('sdk', 'let', 'ignor'), ('let', 'ignor', 'issu'), ('ignor', 'issu', 'sentri'), ('issu', 'sentri', 'code'), ('sentri', 'code', 'sinc'), ('code', 'sinc', 'thirdparti'), ('sinc', 'thirdparti', 'depend'), ('thirdparti', 'depend', 'anyway')]",18,benevolence,sentri sdk com pile part java sdk avail android sdk let ignor issu sentri code sinc third parti depend anyway,20
,"['perform', 'valid', 'ate', 'address', 'check', 'signific', 'impact', 'perform', 'quick', 'fix', 'escal', 'error']",/Users/rubber/fenix/app/lint.xml: 23,xml,Performance: we haven't validated that addressing these checks have a significant impact          on performance but they're very quick to fix so we escalate them to error.,perform valid ate address check signific impact perform quick fix escal error,"[('perform', 'havent', 'valid'), ('havent', 'valid', 'address'), ('valid', 'address', 'check'), ('address', 'check', 'signific'), ('check', 'signific', 'impact'), ('signific', 'impact', 'perform'), ('impact', 'perform', 'theyr'), ('perform', 'theyr', 'quick'), ('theyr', 'quick', 'fix'), ('quick', 'fix', 'escal'), ('fix', 'escal', 'error')]",13,security,perform valid ate address check signific impact perform quick fix escal error,12
,"['perform', 'big', 'win', 'theoret', 'perspect', 'escal', 'error']",/Users/rubber/fenix/app/lint.xml: 24,xml,Performance: big wins from a theoretical perspective so we escalate to error.,perform big win theoret perspect escal error,"[('perform', 'big', 'win'), ('big', 'win', 'theoret'), ('win', 'theoret', 'perspect'), ('theoret', 'perspect', 'escal'), ('perspect', 'escal', 'error')]",7,security,perform big win theoret perspect escal error,7
,"['hurt', 'develop', 'conveni', 'kotlin', 'map', 'depth', 'custom', 'ize', 'view', 'count', 'custom', 'ize']",/Users/rubber/fenix/app/lint.xml: 65,xml,hurts developer convenience of kotlin Map...  depth can be customized  view count can be customized,hurt develop conveni kotlin map depth custom ize view count custom ize,"[('hurt', 'develop', 'conveni'), ('develop', 'conveni', 'kotlin'), ('conveni', 'kotlin', 'map'), ('kotlin', 'map', 'depth'), ('map', 'depth', 'custom'), ('depth', 'custom', 'view'), ('custom', 'view', 'count'), ('view', 'count', 'custom')]",10,hedonism,hurt develop conveni kotlin map depth custom ize view count custom ize,12
,"['trust', 'web', 'activ', 'current', 'sup', 'port', 'nightli']",/Users/rubber/fenix/app/src/nightly/AndroidManifest.xml: 8,xml,Trusted Web Activities are currently only supported in nightly.,trust web activ current sup port nightli,"[('trust', 'web', 'activ'), ('web', 'activ', 'current'), ('activ', 'current', 'support'), ('current', 'support', 'nightli')]",6,universalism,trust web activ current sup port nightli,7
,"['need', 'prompt', 'user', 'give', 'permiss', 'instal', 'load', 'apk']",/Users/rubber/fenix/app/src/main/AndroidManifest.xml: 18,xml,Needed to prompt the user to give permission to install a downloaded apk,need prompt user give permiss instal load apk,"[('need', 'prompt', 'user'), ('prompt', 'user', 'give'), ('user', 'give', 'permiss'), ('give', 'permiss', 'instal'), ('permiss', 'instal', 'download'), ('instal', 'download', 'apk')]",8,power,need prompt user give permiss instal load apk,8
,"['inherit', 'entri', 'applic', 'id', 'app', 'fennec', 'need', 'keep', 'main', 'launcher', 'avoid', 'launcher', 'icon', 'home', 'screen', 'disappear', 'user', 'note', 'fennec', 'build', 'type', 'overrid', 'targ', 'tactiv', 'properti', 'manifest', 'insid', 'sourc', 'set']",/Users/rubber/fenix/app/src/main/AndroidManifest.xml: 43,xml,We inherited this entry (${applicationId}.App) from Fennec. We need to keep this as our           main launcher to avoid launcher icons on the home screen disappearing for all our users.            Note that `fennec*` build types override the targetActivity property in the Manifest           inside their source set.,inherit entri applic id app fennec need keep main launcher avoid launcher icon home screen disappear user note fennec build type overrid targ tactiv properti manifest insid sourc set,"[('inherit', 'entri', 'applicationidapp'), ('entri', 'applicationidapp', 'fennec'), ('applicationidapp', 'fennec', 'need'), ('fennec', 'need', 'keep'), ('need', 'keep', 'main'), ('keep', 'main', 'launcher'), ('main', 'launcher', 'avoid'), ('launcher', 'avoid', 'launcher'), ('avoid', 'launcher', 'icon'), ('launcher', 'icon', 'home'), ('icon', 'home', 'screen'), ('home', 'screen', 'disappear'), ('screen', 'disappear', 'user'), ('disappear', 'user', 'note'), ('user', 'note', 'fennec'), ('note', 'fennec', 'build'), ('fennec', 'build', 'type'), ('build', 'type', 'overrid'), ('type', 'overrid', 'targetact'), ('overrid', 'targetact', 'properti'), ('targetact', 'properti', 'manifest'), ('properti', 'manifest', 'insid'), ('manifest', 'insid', 'sourc'), ('insid', 'sourc', 'set')]",26,self-direction,inherit entri applic id app fennec need keep main launcher avoid launcher icon home screen disappear user note fennec build type overrid targ tactiv properti manifest insid sourc set,29
,"['text', 'info', 'dialog', 'camera', 'permiss', 'deni', 'user', 'tri', 'access', 'camera', 'featur']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 98,xml,Text for the info dialog when camera permissions have been denied but user tries to access a camera feature.,text info dialog camera permiss deni user tri access camera featur,"[('text', 'info', 'dialog'), ('info', 'dialog', 'camera'), ('dialog', 'camera', 'permiss'), ('camera', 'permiss', 'deni'), ('permiss', 'deni', 'user'), ('deni', 'user', 'tri'), ('user', 'tri', 'access'), ('tri', 'access', 'camera'), ('access', 'camera', 'featur')]",11,power,text info dialog camera permiss deni user tri access camera featur,11
,"['text', 'posit', 'action', 'button', 'go', 'android', 'set', 'grant', 'permiss']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 100,xml,Text for the positive action button to go to Android Settings to grant permissions.,text posit action button go android set grant permiss,"[('text', 'posit', 'action'), ('posit', 'action', 'button'), ('action', 'button', 'go'), ('button', 'go', 'android'), ('go', 'android', 'set'), ('android', 'set', 'grant'), ('set', 'grant', 'permiss')]",9,power,text posit action button go android set grant permiss,9
,"['share', 'error', 'messag']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 1192,xml,Share error message,share error messag,"[('share', 'error', 'messag')]",3,none,share error messag,3
,"['titl', 'delet', 'brows', 'data', 'quit', 'prefer']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 1331,xml,Title for the Delete browsing data on quit preference,titl delet brows data quit prefer,"[('titl', 'delet', 'brows'), ('delet', 'brows', 'data'), ('brows', 'data', 'quit'), ('data', 'quit', 'prefer')]",6,none,titl delet brows data quit prefer,6
