line,location,language,value,category,keywords,description,original comment,trigram,comment length
"['file', 'contain', 'selection', 'common', 'options', 'full', 'list', 'see', 'documentation', 'http']",/Users/rubber/brave-browser/docs/source/conf.py: 7,python,['obeys choosing own goals'],['self-direction'],['see'],conforms with value,This file does only contain a selection of the most common options. For a full list see the documentation: http://www.sphinx-doc.org/en/master/config ,"[('file', 'contain', 'selection'), ('contain', 'selection', 'common'), ('selection', 'common', 'options'), ('common', 'options', 'full'), ('options', 'full', 'list'), ('full', 'list', 'see'), ('list', 'see', 'documentation'), ('see', 'documentation', 'http')]",10
"['language', 'content', 'autogenerated', 'sphinx', 'refer', 'documentation', 'list', 'supported', 'languages']",/Users/rubber/brave-browser/docs/source/conf.py: 57,python,"['obeys pleasure', 'obeys healthy', 'obeys equality']","['Hedonism', 'Security', 'Universalism']","['content', 'supported', 'language', 'languages', 'supported']",conforms with value,The language for content autogenerated by Sphinx. Refer to documentation for a list of supported languages. ,"[('language', 'content', 'autogenerated'), ('content', 'autogenerated', 'sphinx'), ('autogenerated', 'sphinx', 'refer'), ('sphinx', 'refer', 'documentation'), ('refer', 'documentation', 'list'), ('documentation', 'list', 'supported'), ('list', 'supported', 'languages')]",9
"['also', 'used', 'content', 'translation', 'via', 'gettext', 'catalogs', 'usually', 'set', 'language', 'command', 'line', 'cases']",/Users/rubber/brave-browser/docs/source/conf.py: 60,python,"['obeys pleasure', 'obeys equality']","['Hedonism', 'Universalism']","['content', 'language']",conforms with value,This is also used if you do content translation via gettext catalogs. Usually you set language from the command line for these cases. ,"[('also', 'used', 'content'), ('used', 'content', 'translation'), ('content', 'translation', 'via'), ('translation', 'via', 'gettext'), ('via', 'gettext', 'catalogs'), ('gettext', 'catalogs', 'usually'), ('catalogs', 'usually', 'set'), ('usually', 'set', 'language'), ('set', 'language', 'command'), ('language', 'command', 'line'), ('command', 'line', 'cases')]",13
"['theme', 'use', 'html', 'html', 'help', 'pages', 'see', 'documentation', 'list', 'builtin', 'themes']",/Users/rubber/brave-browser/docs/source/conf.py: 75,python,"['obeys choosing own goals', 'obeys helpful']","['self-direction', 'Benevolence']","['See', 'Help']",conforms with value,The theme to use for HTML and HTML Help pages.  See the documentation for a list of builtin themes. ,"[('theme', 'use', 'html'), ('use', 'html', 'html'), ('html', 'html', 'help'), ('html', 'help', 'pages'), ('help', 'pages', 'see'), ('pages', 'see', 'documentation'), ('see', 'documentation', 'list'), ('documentation', 'list', 'builtin'), ('list', 'builtin', 'themes')]",11
"['theme', 'options', 'customize', 'look', 'feel', 'theme', 'list', 'options', 'available', 'theme', 'see', 'documentation']",/Users/rubber/brave-browser/docs/source/conf.py: 81,python,['obeys choosing own goals'],['self-direction'],['see'],conforms with value,"Theme options are theme-specific and customize the look and feel of a theme further.  For a list of options available for each theme, see the documentation. ","[('theme', 'options', 'customize'), ('options', 'customize', 'look'), ('customize', 'look', 'feel'), ('look', 'feel', 'theme'), ('feel', 'theme', 'list'), ('theme', 'list', 'options'), ('list', 'options', 'available'), ('options', 'available', 'theme'), ('available', 'theme', 'see'), ('theme', 'see', 'documentation')]",12
"['custom', 'sidebar', 'templates', 'must', 'dictionary', 'maps', 'document', 'names', 'template', 'names']",/Users/rubber/brave-browser/docs/source/conf.py: 101,python,['violates choosing own goals'],['self-direction'],['must'],value violation,"Custom sidebar templates, must be a dictionary that maps document names to template names. ","[('custom', 'sidebar', 'templates'), ('sidebar', 'templates', 'must'), ('templates', 'must', 'dictionary'), ('must', 'dictionary', 'maps'), ('dictionary', 'maps', 'document'), ('maps', 'document', 'names'), ('document', 'names', 'template'), ('names', 'template', 'names')]",10
"['default', 'sidebars', 'documents', 'match', 'pattern', 'defined', 'theme', 'builtin', 'themes', 'using', 'templates', 'default']",/Users/rubber/brave-browser/docs/source/conf.py: 106,python,['violates choosing own goals'],['self-direction'],"[""don't""]",value violation,"The default sidebars (for documents that don't match any pattern) are defined by theme itself.  Builtin themes are using these templates by default: ``['localtoc.html', 'relations.html', 'sourcelink.html', 'searchbox.html']``. ","[('default', 'sidebars', 'documents'), ('sidebars', 'documents', 'match'), ('documents', 'match', 'pattern'), ('match', 'pattern', 'defined'), ('pattern', 'defined', 'theme'), ('defined', 'theme', 'builtin'), ('theme', 'builtin', 'themes'), ('builtin', 'themes', 'using'), ('themes', 'using', 'templates'), ('using', 'templates', 'default')]",12
"['output', 'file', 'base', 'name', 'html', 'help', 'builder']",/Users/rubber/brave-browser/docs/source/conf.py: 115,python,['obeys helpful'],['Benevolence'],['help'],conforms with value,Output file base name for HTML help builder. ,"[('output', 'file', 'base'), ('file', 'base', 'name'), ('base', 'name', 'html'), ('name', 'html', 'help'), ('html', 'help', 'builder')]",7
"['grouping', 'document', 'tree', 'latex', 'files', 'list', 'tuples', 'source', 'start', 'file', 'target', 'name', 'title', 'author', 'documentclass', 'howto', 'manual', 'class']",/Users/rubber/brave-browser/docs/source/conf.py: 143,python,['obeys helpful'],['Benevolence'],['manual'],conforms with value,"Grouping the document tree into LaTeX files. List of tuples (source start file, target name, title, author, documentclass [howto, manual, or own class]). ","[('grouping', 'document', 'tree'), ('document', 'tree', 'latex'), ('tree', 'latex', 'files'), ('latex', 'files', 'list'), ('files', 'list', 'tuples'), ('list', 'tuples', 'source'), ('tuples', 'source', 'start'), ('source', 'start', 'file'), ('start', 'file', 'target'), ('file', 'target', 'name'), ('target', 'name', 'title'), ('name', 'title', 'author'), ('title', 'author', 'documentclass'), ('author', 'documentclass', 'howto'), ('documentclass', 'howto', 'manual'), ('howto', 'manual', 'class')]",18
"['options', 'manual', 'page', 'output']",/Users/rubber/brave-browser/docs/source/conf.py: 150,python,['obeys helpful'],['Benevolence'],['manual'],conforms with value,-- Options for manual page output ------------------------------------------ ,"[('options', 'manual', 'page'), ('manual', 'page', 'output')]",4
"['one', 'entry', 'per', 'manual', 'page', 'list', 'tuples', 'source', 'start', 'file', 'name', 'description', 'authors', 'manual', 'section']",/Users/rubber/brave-browser/docs/source/conf.py: 153,python,['obeys helpful'],['Benevolence'],"['manual', 'manual']",conforms with value,"One entry per manual page. List of tuples (source start file, name, description, authors, manual section). ","[('one', 'entry', 'per'), ('entry', 'per', 'manual'), ('per', 'manual', 'page'), ('manual', 'page', 'list'), ('page', 'list', 'tuples'), ('list', 'tuples', 'source'), ('tuples', 'source', 'start'), ('source', 'start', 'file'), ('start', 'file', 'name'), ('file', 'name', 'description'), ('name', 'description', 'authors'), ('description', 'authors', 'manual'), ('authors', 'manual', 'section')]",15
